gene	chr	strand	Num_TSS	Num_TES	TSS_pos	TES_pos
AC074032.1	chr12	+	1	2	50112236	50120451
AC074091.1	chr2	+	2	1	27629052	27623091
AC078778.1	chr12	+	3	4	54280748	54284879
AC078927.1	chr12	-	3	4	66130750	66137928
AC079447.1	chr2	+	2	4	99181194	99194862
AC079781.5	chr7	-	4	2	97872427	97852132
AC084337.2	chr11	+	2	2	6481501	6483057
AC087289.4	chr17	-	2	1	75904883	75898644
AC087632.1	chr15	-	1	1	64381444	64365593
AC087721.2	chr15	+	2	3	41332883	41381043
AC090360.1	chr18	+	1	1	80034478	80046387
AC091133.2	chr17	-	1	1	48997730	48997384
AC091167.2	chr15	+	1	1	90265690	90272209
AC091167.6	chr15	+	1	1	90265690	90272209
AC091959.3	chr5	+	2	1	146203634	146286113
AC092073.1	chr19	+	1	2	34404412	34400327
AC092143.1	chr16	+	1	1	89923342	89936089
AC092587.1	chr2	+	2	3	99181194	99194862
AC092647.5	chr7	+	1	3	55951906	55955336
AC092755.1	chr15	-	2	2	59657517	59662865
AC093152.1	chr1	+	1	1	222815058	222837380
AC093512.2	chr16	+	7	1	30065821	30070413
AC093525.1	chr16	+	2	1	2513972	2520215
AC093525.2	chr16	+	2	1	2513972	2520215
AC093673.1	chr7	-	1	1	143380989	143379696
AC098934.1	chr1	-	1	1	202861526	202852888
AC099329.1	chr3	-	1	2	42804480	42784303
AC099811.2	chr17	-	1	1	42154989	42124982
AC104109.3	chr5	-	3	2	134176950	134197100
AC104257.1	chr8	+	1	1	131310462	131317881
AC104452.1	chr3	-	1	3	49422460	49416779
AC104461.1	chr1	+	1	1	200411801	200415548
AC104581.2	chr17	-	1	1	7931946	7930351
AC109460.3	chr16	+	1	1	28974792	28984540
AC112504.2	chr3	+	3	4	141738319	141745700
AC117378.1	chr12	-	1	1	56725287	56712785
AC120057.2	chr17	-	2	2	7242420	7240423
AC120114.4	chr16	+	2	1	29816476	29820111
AC124312.1	chr15	+	3	2	24954989	24978572
AC124319.1	chr17	+	1	1	80260852	80273404
AC126283.2	chr4	-	1	1	109730021	109713922
AC131160.1	chr3	-	1	1	183884852	183829392
AC133644.3	chr2	+	1	1	87455595	87521505
AC135050.2	chr16	-	2	1	31094783	31090857
AC135178.2	chr17	-	2	2	8383193	8377526
AC138811.2	chr16	-	3	3	18790334	18791671
AC139530.3	chr17	+	2	2	81703470	81707516
AC233728.1	chrX	-	1	1	53434370	53431264
AC242426.2	chr1	+	1	1	147242681	147295760
ACAA1	chr3	-	1	1	38137094	38122718
ACAA2	chr18	-	2	1	49813521	49783507
ACADM	chr1	+	2	1	75786256	75763496
ACADVL	chr17	+	1	2	7219914	7225263
ACAT1	chr11	+	2	1	108121567	108147591
ACAT2	chr6	+	1	3	159762066	159779048
ACBD6	chr1	-	2	2	180502577	180288231
ACD	chr16	-	1	1	67660245	67657533
ACLY	chr17	-	1	1	41918951	41866919
ACO2	chr22	+	1	1	41469128	41528973
ACOT13	chr6	+	2	2	24667057	24701710
ACOT7	chr1	-	1	1	6393354	6264273
ACOT8	chr20	-	1	1	45857392	45841722
ACOT9	chrX	-	2	1	23702552	23703679
ACP1	chr2	+	1	2	264947	277505
ACSL3	chr2	+	2	1	222861036	222941821
ACTA1	chr1	-	2	2	229434094	229431249
ACTB	chr7	-	25	7	5530601	5527355
ACTC1	chr15	-	5	1	34795549	34790232
ACTG1	chr17	-	15	2	81512799	81509973
ACTG2	chr2	+	1	1	73893008	73919650
ACTL6A	chr3	+	1	1	179562964	179588398
ACTN1	chr14	-	2	2	68979302	68874682
ACTN4	chr19	+	3	1	38730070	38730090
ACTR10	chr14	+	1	1	58200151	58234789
ACTR1A	chr10	-	1	2	102502712	102479232
ACTR2	chr2	+	1	1	65227831	65271251
ACTR6	chr12	+	1	1	100200796	100224423
ACY1	chr3	+	2	1	51983535	51989195
AD000671.1	chr19	+	2	2	35745651	35747002
ADH5	chr4	-	1	1	99088717	99072159
ADI1	chr2	-	1	3	3519531	3498456
ADIPOR1	chr1	-	2	1	202958291	202940835
ADK	chr10	+	1	1	74151220	74708538
ADM	chr11	+	1	1	10305073	10307394
ADPRHL2	chr1	+	1	1	36088897	36093929
ADRM1	chr20	+	1	1	62303007	62308860
ADSL	chr22	+	1	1	40346529	40366552
ADSS	chr1	-	2	1	244451909	244408496
AEN	chr15	+	1	1	88621355	88632279
AF196969.1	chrX	+	1	1	48521837	48528713
AFG3L2	chr18	-	2	1	12377209	12329118
AFMID	chr17	+	1	1	78187362	78207701
AFP	chr4	+	2	1	73450657	73455775
AGPAT2	chr9	-	1	1	136687409	136673145
AGTRAP	chr1	+	2	1	11736166	11750767
AHCY	chr20	-	2	1	34303355	34280270
AHRR	chr5	+	1	2	271646	314973
AHSA1	chr14	+	2	1	77458094	77469462
AIF1L	chr9	+	2	3	131096531	131121221
AIG1	chr6	+	1	2	143060900	143340300
AIMP1	chr4	+	1	1	106316550	106347759
AIMP2	chr7	+	1	1	6009275	6023828
AIP	chr11	+	1	1	67483135	67491101
AK1	chr9	-	1	1	127877675	127867842
AK2	chr1	-	1	1	33036845	33013045
AK6	chr5	-	1	2	69369520	69364744
AKAP12	chr6	+	1	1	151240410	151356772
AKAP13	chr15	+	1	1	85380605	85684870
AKAP8L	chr19	-	1	1	15418988	15380053
AKIP1	chr11	+	1	2	8911199	8919548
AKIRIN1	chr1	+	2	2	38991297	39005885
AKIRIN2	chr6	-	1	2	87702232	87674928
AKR1A1	chr1	+	2	1	45550826	45570047
AKR1B1	chr7	-	2	1	134459098	134442359
AKR7A2	chr1	-	1	1	19312110	19303970
AL021546.1	chr12	+	1	1	120438118	120440727
AL022238.4	chr22	+	1	2	40346529	40366552
AL022311.1	chr22	+	1	1	37886810	37888628
AL022318.4	chr22	+	1	1	39014257	39020351
AL022718.1	chrX	-	1	1	124326196	124326129
AL031727.1	chr1	+	1	1	19608091	19608619
AL031847.2	chr1	-	1	1	6199596	6186220
AL035078.4	chr11	+	1	2	32091123	32105535
AL035458.2	chr20	-	1	1	34280849	34280270
AL049779.1	chr14	-	1	1	67674613	67677393
AL049844.1	chr6	+	3	2	143843367	143830828
AL080251.1	chr1	-	1	1	18902550	18871434
AL096870.2	chr14	-	2	2	24213466	24209617
AL110118.2	chr14	+	1	1	93207256	93187084
AL117348.2	chr1	-	2	2	225889146	225886284
AL121594.1	chr14	+	2	2	35292392	35317467
AL121900.2	chr20	+	5	1	18567432	18569557
AL132780.2	chr14	+	1	1	22982916	22983294
AL133215.1	chr10	-	2	1	100987470	100981379
AL133352.1	chr10	-	2	1	100529879	100523743
AL133410.3	chr9	-	1	1	35815042	35812964
AL135905.2	chr6	+	2	1	63572559	63581455
AL136295.1	chr14	-	1	2	24213466	24209617
AL136531.2	chr20	-	1	1	1393083	1368981
AL137129.1	chr14	+	1	2	61762421	61748258
AL137782.1	chr13	+	1	1	75549791	75605928
AL138752.2	chr9	-	2	3	37592582	37588417
AL139011.2	chr1	-	1	2	160285133	160278482
AL139260.2	chr1	-	1	1	38873348	38864496
AL139260.3	chr1	-	1	1	38873348	38864496
AL139300.1	chr14	+	2	2	103562987	103590527
AL139353.1	chr14	-	1	1	31420550	31400270
AL157778.1	chrX	+	2	2	98573870	98865562
AL157935.2	chr9	-	1	2	127877675	127867842
AL159163.1	chr6	-	1	2	166956585	166929525
AL353747.4	chr6	+	2	2	167228310	167237510
AL355338.1	chr13	-	1	1	100088943	100086233
AL355987.3	chr9	+	1	1	136791344	136793256
AL358113.1	chr9	+	2	1	69035751	69073097
AL358472.6	chr1	-	2	4	153977674	153981964
AL358472.7	chr1	-	2	2	153977674	153974513
AL358613.3	chr10	+	1	1	93073893	93077495
AL359762.3	chr1	-	2	1	84506183	84498325
AL360181.3	chr10	+	4	3	133394157	133420480
AL365205.1	chr6	+	1	1	41787695	41789894
AL392023.1	chr14	+	1	1	38190983	38202923
AL392172.1	chr1	+	1	1	222815058	222837380
AL441992.2	chr9	-	1	1	128829787	128822072
AL445423.2	chr1	+	1	1	220786873	220814387
AL512356.1	chr14	-	1	1	105181296	105172940
AL513165.2	chr9	-	1	2	37592582	37588417
AL591030.1	chr6	+	1	1	76561321	76562653
AL591742.2	chr1	+	1	1	114032378	114033411
AL591806.3	chr1	-	2	3	161038964	161037636
AL603832.3	chr1	-	2	2	112707102	112701133
AL662899.2	chr6	+	1	1	31666106	31670066
AL671762.1	chr6	+	1	1	31834916	31839758
AL691442.1	chr1	+	1	1	155063740	155069551
AL713999.1	chr1	-	1	1	155173257	155169410
ALDH16A1	chr19	+	1	2	49453273	49471047
ALDH18A1	chr10	-	1	1	95656711	95605945
ALDH1B1	chr9	+	2	1	38392743	38398658
ALDH4A1	chr1	-	1	1	18902550	18871434
ALDH7A1	chr5	-	2	1	126595219	126544758
ALDH9A1	chr1	-	1	1	165698582	165662225
ALDOA	chr16	+	7	1	30065821	30070413
ALDOC	chr17	-	1	1	28576891	28573121
ALG1	chr16	+	1	2	5071843	5085390
ALG2	chr9	-	1	1	99221942	99217370
ALG3	chr3	-	2	1	184248962	184242425
ALG5	chr13	-	1	1	36999342	36949849
ALG8	chr11	-	1	1	78139609	78100947
ALKBH2	chr12	-	1	2	109093472	109088191
ALKBH3	chr11	+	1	1	43880849	43920264
ALKBH4	chr7	-	1	1	102464857	102456848
ALKBH6	chr19	-	1	1	36014207	36009141
ALKBH7	chr19	+	2	1	6372792	6375029
ALPL	chr1	+	3	1	21509426	21578395
ALYREF	chr17	-	1	1	81891586	81887845
AMD1	chr6	+	1	2	110874785	110895708
AMT	chr3	-	1	2	49422460	49416779
ANAPC10	chr4	-	2	1	145098189	145098322
ANAPC11	chr17	+	1	2	81891735	81900253
ANAPC13	chr3	-	1	1	134485985	134477708
ANAPC15	chr11	-	3	1	72112695	72109588
ANAPC16	chr10	+	1	4	72216035	72233294
ANAPC5	chr12	-	2	1	121352408	121308360
ANKRD1	chr10	-	1	1	90921087	90912100
ANKRD10	chr13	-	1	2	110915048	110892700
ANKRD11	chr16	-	1	2	89288536	89298879
ANKRD23	chr2	-	1	1	96857999	96848043
ANKRD39	chr2	-	1	1	96857999	96848043
ANKRD46	chr8	-	1	1	100559759	100520776
ANP32A	chr15	-	1	3	68820868	68779874
ANP32B	chr9	+	2	1	97983359	98015811
ANP32E	chr1	-	1	3	150236112	150218555
ANXA1	chr9	+	1	1	73151865	73170391
ANXA11	chr10	-	1	1	80205537	80155600
ANXA2	chr15	-	1	1	60397986	60347339
ANXA3	chr4	+	1	1	78551770	78610443
ANXA5	chr4	-	2	2	121696975	121667999
ANXA7	chr10	-	1	2	73414028	73375784
AP000311.1	chr21	-	2	3	33915781	33903459
AP000317.2	chr21	+	1	2	34073578	34143028
AP000350.4	chr22	+	5	1	23894395	23895221
AP000721.1	chr11	+	2	1	63974614	63976540
AP001267.5	chr11	+	3	2	118401619	118409193
AP001324.1	chr11	-	1	1	74745749	74745688
AP001453.5	chr11	+	2	1	64241095	64244082
AP001458.2	chr11	-	2	2	62665186	62662820
AP001931.1	chr11	+	2	1	57741589	57743037
AP002856.2	chr11	+	1	1	131253433	131300771
AP002884.3	chr11	+	1	1	112086899	112095772
AP002990.1	chr11	-	3	2	62573863	62559605
AP003108.2	chr11	+	1	1	61430134	61446720
AP003419.1	chr11	-	1	1	67353546	67351550
AP005263.1	chr18	+	2	1	9102718	9134334
AP1M1	chr19	+	1	1	16197911	16235336
AP1M2	chr19	-	2	1	10587306	10572673
AP1S2	chrX	-	1	3	15854813	15826073
AP2M1	chr3	+	1	1	184174882	184184090
AP2S1	chr19	-	2	2	46850811	46838167
AP3S2	chr15	-	2	1	89893977	89834306
APEH	chr3	+	1	1	49674390	49683502
APELA	chr4	+	5	2	164877155	164879163
APEX1	chr14	+	1	1	20455233	20457764
APLP2	chr11	+	1	1	130069898	130144804
APMAP	chr20	-	2	1	24992751	24962945
APOBEC3C	chr22	+	1	1	39014257	39020351
APOC1	chr19	+	2	1	44914708	44919340
APOE	chr19	+	1	1	44905796	44909392
APOLD1	chr12	+	1	1	12813361	12829980
APOO	chrX	-	2	1	23907732	23833366
APOPT1	chr14	+	1	1	103562987	103590527
APP	chr21	-	2	1	26170770	25880551
APRT	chr16	-	1	1	88811928	88809471
APTX	chr9	-	3	1	33001608	32973379
ARCN1	chr11	+	1	2	118572424	118602927
ARF1	chr1	+	1	3	228082722	228099209
ARF3	chr12	-	3	2	48957473	48936210
ARF4	chr3	-	3	2	57597378	57571366
ARF5	chr7	+	1	1	127588437	127591699
ARF6	chr14	+	1	1	49893099	49897053
ARFGAP2	chr11	-	1	1	47176879	47164305
ARFIP2	chr11	-	1	1	6481323	6476520
ARFRP1	chr20	-	1	2	63707900	63699456
ARG2	chr14	+	2	1	67619920	67651184
ARGLU1	chr13	-	1	2	106568137	106543330
ARHGAP4	chrX	-	1	1	153935019	153929930
ARHGAP8	chr22	+	2	1	44752558	44862712
ARHGDIA	chr17	-	2	1	81871337	81867722
ARHGEF39	chr9	-	1	1	35675294	35661437
ARID3A	chr19	+	1	1	972758	972204
ARID4B	chr1	-	2	1	235161241	235131650
ARIH2	chr3	+	1	1	48918865	48983606
ARL1	chr12	-	1	2	101407772	101395332
ARL10	chr5	+	2	1	176388760	176389757
ARL14EP	chr11	+	1	1	30323104	30336806
ARL16	chr17	-	2	1	81683763	81681187
ARL2	chr11	+	1	1	65014228	65022183
ARL2-SNX15	chr11	+	1	1	65014228	65022183
ARL3	chr10	-	2	1	102714310	102676667
ARL4A	chr7	+	1	1	12687633	12689174
ARL5A	chr2	-	2	2	151828474	151802619
ARL6IP1	chr16	-	1	2	18801544	18791671
ARL6IP4	chr12	+	1	2	122980703	122982907
ARL6IP5	chr3	+	1	2	69085022	69106064
ARMC6	chr19	+	1	1	19033760	19058169
ARMC9	chr2	+	1	1	231256066	231256446
ARMCX1	chrX	+	1	1	101550547	101554690
ARMCX2	chrX	-	1	1	101659850	101655286
ARMH4	chr14	-	1	2	58298115	58141592
ARMT1	chr6	+	2	1	151452524	151470095
ARPC1A	chr7	+	1	1	99325910	99366259
ARPC1B	chr7	+	2	2	99374730	99394698
ARPC2	chr2	+	2	3	218217189	218249896
ARPC3	chr12	-	1	1	110450317	110434902
ARPC4	chr3	+	1	1	9793108	9807097
ARPC4-TTLL3	chr3	+	1	1	9793108	9807097
ARPC5	chr1	-	1	2	183635768	183626199
ARPC5L	chr9	+	2	1	124869205	124877412
ARPIN-AP3S2	chr15	-	2	1	89893977	89834306
ARPP19	chr15	-	2	1	52569030	52551189
ART5	chr11	-	1	1	3641991	3638513
ASB1	chr2	+	1	1	238427043	238446730
ASCC2	chr22	-	1	1	29838269	29788614
ASF1A	chr6	+	2	1	118894220	118907798
ASF1B	chr19	-	1	1	14136587	14119514
ASL	chr7	+	1	1	66075819	66092953
ASNA1	chr19	+	2	1	12737492	12748323
ASNS	chr7	-	3	1	97872427	97852132
ASPSCR1	chr17	+	1	1	81977629	82017402
ASRGL1	chr11	+	1	2	62337457	62392568
ASS1	chr9	+	1	1	130444962	130501252
ATAD3A	chr1	+	1	1	1512165	1534684
ATF3	chr1	+	1	1	212608761	212620772
ATF4	chr22	+	2	1	39520559	39522680
ATF7IP	chr12	+	1	1	14365682	14461125
ATG101	chr12	+	2	1	52070007	52077483
ATG12	chr5	-	1	2	115841565	115831582
ATG14	chr14	-	1	1	55411830	55366392
ATG3	chr3	-	2	2	112561662	112532511
ATG4B	chr2	+	1	1	241637694	241672628
ATG5	chr6	-	1	1	106325678	106185915
ATIC	chr2	+	1	1	215312081	215349763
ATOX1	chr5	-	1	1	151758608	151742823
ATP1A1	chr1	+	2	1	116373244	116404772
ATP1B1	chr1	+	1	1	169106695	169132718
ATP1B3	chr3	+	2	1	141876641	141926191
ATP2A1-AS1	chr16	-	1	1	28879897	28878958
ATP5F1A	chr18	-	1	2	46098285	46084150
ATP5F1B	chr12	-	3	2	56645984	56638181
ATP5F1C	chr10	+	1	1	7788179	7807790
ATP5F1D	chr19	+	2	1	1241784	1244822
ATP5F1E	chr20	-	1	3	59032305	59028752
ATP5IF1	chr1	+	2	1	28236154	28238096
ATP5MC1	chr17	+	2	1	48892817	48895867
ATP5MC2	chr12	-	1	1	53676078	53665171
ATP5MC3	chr2	-	1	1	175181709	175178148
ATP5MD	chr10	-	1	1	103396453	103389054
ATP5ME	chr4	-	1	1	674265	672439
ATP5MF	chr7	-	1	1	99466164	99458196
ATP5MF-PTCD1	chr7	-	1	1	99466164	99458196
ATP5MG	chr11	+	3	2	118401619	118409193
ATP5MPL	chr14	-	1	2	103921529	103912517
ATP5PB	chr1	+	1	3	111449476	111461325
ATP5PD	chr17	-	1	3	75046957	75038989
ATP5PF	chr21	-	2	2	25734904	25724503
ATP5PO	chr21	-	2	3	33915781	33903459
ATP6AP1	chrX	+	1	1	154428677	154436512
ATP6AP2	chrX	+	1	1	40580970	40606634
ATP6V0B	chr1	+	1	1	43974960	43978292
ATP6V0C	chr16	+	2	1	2513972	2520215
ATP6V0D1	chr16	-	1	1	67481157	67438021
ATP6V0E1	chr5	+	3	1	172983831	173034889
ATP6V1B2	chr8	+	1	1	20197381	20220534
ATP6V1C1	chr8	+	1	1	103021102	103069282
ATP6V1D	chr14	-	1	2	67359804	67338074
ATP6V1E1	chr22	-	2	1	17628747	17592170
ATP6V1F	chr7	+	2	1	128862861	128865846
ATP6V1G1	chr9	+	1	2	114587818	114598372
ATP6V1G2-DDX39B	chr6	-	1	1	31542003	31530246
ATPAF2	chr17	-	1	1	18039168	18018268
ATRAID	chr2	+	3	1	27212360	27217150
ATRX	chrX	-	1	1	77786216	77599735
ATXN10	chr22	+	1	1	45671834	45843986
ATXN7L3B	chr12	+	2	1	74537855	74541451
AUP1	chr2	-	1	1	74529688	74526654
AURKA	chr20	-	1	1	56392215	56369392
AURKAIP1	chr1	-	3	1	1375182	1373737
AURKB	chr17	-	1	1	8210581	8204739
AZIN1	chr8	-	1	3	102864163	102828006
B2M	chr15	+	1	1	44711513	44718142
B3GNT2	chr2	+	1	1	62196125	62224729
B4GALT4-AS1	chr3	+	1	1	119255886	119256165
BABAM1	chr19	+	1	1	17267443	17279333
BABAM2	chr2	+	2	1	27890802	28338896
BAD	chr11	-	1	1	64284654	64269833
BAG1	chr9	-	2	1	33264738	33255025
BAIAP2	chr17	+	1	1	81035151	81116224
BAK1	chr6	-	1	1	33580259	33572553
BAMBI	chr10	+	1	1	28677522	28682703
BANF1	chr11	+	2	1	66002516	66004145
BASP1	chr5	+	2	2	17217634	17276728
BAX	chr19	+	1	1	48954903	48961797
BCAP31	chrX	-	1	2	153724385	153700499
BCAS2	chr1	-	1	2	114581615	114567562
BCAS4	chr20	+	1	1	50795061	50877176
BCAT2	chr19	-	1	1	48811029	48795067
BCCIP	chr10	+	1	1	125823548	125836542
BCKDHA	chr19	+	1	1	41397818	41425001
BCKDHB	chr6	+	1	1	80106671	80346268
BCKDK	chr16	+	2	1	31108429	31112566
BCL11A	chr2	-	1	1	60550907	60452159
BCL2L12	chr19	+	2	3	49665970	49673914
BCL2L2-PABPN1	chr14	+	3	2	23321462	23325334
BCLAF1	chr6	-	2	1	136289781	136258591
BCS1L	chr2	+	1	1	218659714	218663441
BECN1	chr17	-	1	1	42824260	42810141
BET1	chr7	-	1	1	94004355	93994228
BET1L	chr11	-	1	1	207383	202926
BEX1	chrX	-	2	2	103064171	103062653
BEX2	chrX	-	1	1	103310990	103309347
BEX3	chrX	+	1	1	103376538	103378071
BEX4	chrX	+	2	1	103215137	103217190
BFAR	chr16	+	1	1	14632951	14650585
BID	chr22	-	1	1	17774469	17735374
BIRC5	chr17	+	1	4	78214253	78224696
BLCAP	chr20	-	2	1	37527873	37517420
BLMH	chr17	-	1	1	30291976	30248205
BLOC1S1	chr12	+	4	1	55716068	55719701
BLOC1S2	chr10	-	1	1	100286674	100274701
BLOC1S4	chr4	+	1	1	6716189	6717361
BLVRA	chr7	+	1	1	43758712	43807337
BMS1	chr10	+	1	1	42782804	42831399
BNIP3L	chr8	+	1	1	26383037	26410913
BOD1	chr5	-	1	1	173616618	173607541
BOLA3	chr2	-	1	2	74147905	74135419
BOP1	chr8	-	1	1	144291416	144262105
BORCS8	chr19	-	1	1	19192130	19176910
BORCS8-MEF2B	chr19	-	1	1	19192130	19176910
BPHL	chr6	+	1	1	3118711	3153028
BRD3	chr9	-	1	1	134067998	134032882
BRD8	chr5	-	1	2	138178629	138170831
BRD9	chr5	-	1	1	892782	863741
BRIX1	chr5	+	1	2	34915731	34925678
BRK1	chr3	+	1	2	10115681	10126915
BRMS1	chr11	-	1	1	66345101	66337340
BSCL2	chr11	-	2	1	62706291	62690277
BSG	chr19	+	3	2	572596	583462
BST2	chr19	-	1	1	17405592	17402942
BTBD10	chr11	-	1	1	13463263	13388024
BTD	chr3	+	1	1	15601745	15642234
BTF3	chr5	+	2	2	73498448	73505494
BTF3L4	chr1	+	1	1	52056304	52086982
BTG1	chr12	-	1	1	92145843	92143945
BTG3	chr21	-	1	1	17612897	17593657
BUB3	chr10	+	1	2	123154402	123165361
BUD23	chr7	+	2	4	73683601	73698136
BUD31	chr7	+	2	1	99408969	99419615
BYSL	chr6	+	1	1	41921499	41933042
BZW2	chr7	+	1	2	16646181	16706512
C11orf24	chr11	-	1	3	68271973	68267121
C11orf49	chr11	+	1	1	46936778	47162245
C11orf58	chr11	+	1	3	16738647	16755889
C11orf98	chr11	-	1	2	62665186	62662820
C12orf10	chr12	+	1	1	53299767	53307170
C12orf43	chr12	-	1	1	121016487	121003045
C12orf45	chr12	+	1	1	104986338	104994710
